/*********************************************
 * OPL 22.1.1.0 Data
 * Author: Kayo Xavier
 * Creation Date: 5 de out de 2024 at 18:11:35
 *********************************************/
// Número de sensores
n = 20;

//Nó base
b= 10;

// Matriz de distâncias entre os sensores (20x20)
 distancia = [
    [0.0, 10.5, 12.3, 8.7, 6.5, 9.8, 7.3, 11.2, 5.9, 14.1, 10.2, 13.4, 9.6, 7.1, 15.4, 13.6, 16.3, 18.9, 11.0, 9.8],
    [10.5, 0.0, 8.4, 7.9, 11.6, 14.2, 9.3, 10.1, 12.7, 6.2, 15.5, 9.1, 8.8, 7.0, 9.4, 13.5, 6.8, 12.4, 10.6, 15.3],
    [12.3, 8.4, 0.0, 11.2, 13.9, 10.7, 8.9, 12.5, 9.7, 14.8, 11.3, 9.9, 10.8, 9.4, 7.6, 14.9, 12.8, 13.7, 8.4, 16.9],
    [8.7, 7.9, 11.2, 0.0, 9.5, 10.2, 9.1, 11.6, 7.7, 14.3, 6.9, 13.0, 10.1, 7.4, 15.7, 12.3, 13.4, 10.6, 14.0, 11.7],
    [6.5, 11.6, 13.9, 9.5, 0.0, 10.9, 9.2, 14.5, 7.1, 12.3, 11.4, 8.6, 12.5, 6.8, 13.7, 15.1, 16.0, 10.4, 11.9, 9.9],
    [9.8, 14.2, 10.7, 10.2, 10.9, 0.0, 13.8, 12.4, 9.6, 7.8, 11.7, 14.6, 9.3, 11.5, 8.4, 15.0, 9.9, 13.2, 12.5, 10.8],
    [7.3, 9.3, 8.9, 9.1, 9.2, 13.8, 0.0, 7.9, 6.4, 11.9, 9.4, 8.7, 10.6, 7.5, 9.7, 12.0, 14.2, 11.1, 10.0, 15.4],
    [11.2, 10.1, 12.5, 11.6, 14.5, 12.4, 7.9, 0.0, 13.2, 10.5, 11.8, 8.5, 15.4, 10.0, 12.7, 7.3, 14.4, 9.6, 12.3, 11.9],
    [5.9, 12.7, 9.7, 7.7, 7.1, 9.6, 6.4, 13.2, 0.0, 8.6, 12.5, 10.2, 9.8, 8.9, 11.0, 15.3, 9.5, 10.1, 9.7, 12.8],
    [14.1, 6.2, 14.8, 14.3, 12.3, 7.8, 11.9, 10.5, 8.6, 0.0, 15.7, 9.3, 12.1, 10.8, 13.9, 12.7, 11.6, 13.0, 12.4, 14.2],
    [10.2, 15.5, 11.3, 6.9, 11.4, 11.7, 9.4, 11.8, 12.5, 15.7, 0.0, 14.8, 13.5, 10.2, 7.8, 12.4, 13.3, 9.5, 10.7, 11.1],
    [13.4, 9.1, 9.9, 13.0, 8.6, 14.6, 8.7, 8.5, 10.2, 9.3, 14.8, 0.0, 12.9, 9.4, 10.6, 14.0, 15.4, 11.9, 13.8, 12.1],
    [9.6, 8.8, 10.8, 10.1, 12.5, 9.3, 10.6, 15.4, 9.8, 12.1, 13.5, 12.9, 0.0, 11.3, 10.0, 14.1, 9.5, 12.6, 13.4, 9.8],
    [7.1, 7.0, 9.4, 7.4, 6.8, 11.5, 7.5, 10.0, 8.9, 10.8, 10.2, 9.4, 11.3, 0.0, 13.0, 14.7, 10.9, 8.5, 12.4, 10.0],
    [15.4, 9.4, 7.6, 15.7, 13.7, 8.4, 9.7, 12.7, 11.0, 13.9, 7.8, 10.6, 10.0, 13.0, 0.0, 11.9, 10.7, 14.9, 12.8, 9.7],
    [13.6, 13.5, 14.9, 12.3, 15.1, 15.0, 12.0, 7.3, 15.3, 12.7, 12.4, 14.0, 14.1, 14.7, 11.9, 0.0, 13.4, 15.8, 10.9, 13.1],
    [16.3, 6.8, 12.8, 13.4, 16.0, 9.9, 14.2, 14.4, 9.5, 11.6, 13.3, 15.4, 9.5, 10.9, 10.7, 13.4, 0.0, 15.2, 10.3, 14.8],
    [18.9, 12.4, 13.7, 10.6, 10.4, 13.2, 11.1, 9.6, 10.1, 13.0, 9.5, 11.9, 12.6, 8.5, 14.9, 15.8, 15.2, 0.0, 12.9, 11.7],
    [11.0, 10.6, 8.4, 14.0, 11.9, 12.5, 10.0, 12.3, 9.7, 12.4, 10.7, 13.8, 13.4, 12.4, 12.8, 10.9, 10.3, 12.9, 0.0, 11.4],
    [9.8, 15.3, 16.9, 11.7, 9.9, 10.8, 15.4, 11.9, 12.8, 14.2, 11.1, 12.1, 9.8, 10.0, 9.7, 13.1, 14.8, 11.7, 11.4, 0.0]
];

// Vetor de raios de comunicação (para cada sensor)
raio = [10, 14.5, 13, 15, 14.8, 10, 12.2, 11, 11.3, 9, 4, 17, 22, 9, 13.2, 15.7, 14.4, 16.3, 10, 9.8];
 
