/*********************************************
 * OPL 22.1.1.0 Data
 * Author: Kayo Xavier
 * Creation Date: 5 de out de 2024 at 18:27:43
 *********************************************/
// Número de sensores
n = 40;
//Nó base
b= 18;

// Matriz de distâncias entre os sensores (40x40)
distancia = [
    [0.0, 72, 55, 41, 98, 86, 75, 63, 94, 88, 52, 79, 96, 85, 91, 100, 60, 81, 68, 95, 73, 84, 54, 61, 92, 70, 90, 99, 65, 87, 71, 83, 89, 57, 80, 100, 98, 67, 62, 85],
    [72, 0.0, 68, 87, 64, 75, 61, 84, 78, 55, 92, 65, 76, 82, 97, 67, 91, 63, 58, 69, 94, 79, 85, 73, 66, 59, 88, 95, 74, 80, 56, 90, 60, 93, 71, 99, 81, 77, 70, 83],
    [55, 68, 0.0, 96, 79, 62, 93, 77, 88, 69, 80, 91, 74, 87, 99, 66, 78, 90, 59, 86, 98, 61, 94, 83, 72, 76, 95, 60, 64, 100, 71, 97, 84, 58, 82, 89, 57, 85, 73, 92],
    [41, 87, 96, 0.0, 62, 81, 77, 88, 93, 56, 71, 79, 69, 74, 84, 98, 66, 58, 91, 72, 64, 95, 60, 86, 70, 94, 89, 61, 83, 76, 97, 85, 63, 78, 67, 59, 92, 80, 99, 65],
    [98, 64, 79, 62, 0.0, 58, 84, 73, 61, 81, 65, 97, 90, 78, 72, 88, 69, 67, 85, 95, 100, 56, 92, 76, 87, 60, 99, 59, 83, 63, 94, 89, 74, 98, 91, 66, 77, 57, 82, 90],
    [86, 75, 62, 81, 58, 0.0, 93, 59, 72, 97, 87, 65, 99, 61, 79, 77, 68, 88, 100, 60, 83, 56, 89, 67, 91, 94, 63, 85, 70, 84, 64, 92, 95, 76, 66, 71, 78, 62, 90, 80],
    [75, 61, 93, 77, 84, 93, 0.0, 68, 85, 73, 60, 97, 92, 67, 82, 76, 94, 64, 56, 71, 100, 99, 81, 66, 88, 63, 89, 65, 98, 61, 58, 87, 69, 78, 95, 96, 74, 79, 91, 83],
    [63, 84, 77, 88, 73, 59, 68, 0.0, 56, 92, 60, 75, 69, 86, 81, 98, 99, 58, 93, 87, 90, 65, 94, 82, 91, 57, 100, 70, 96, 62, 67, 64, 72, 97, 76, 85, 61, 78, 88, 95],
    [94, 78, 88, 93, 61, 72, 85, 56, 0.0, 64, 90, 76, 67, 98, 59, 63, 83, 81, 97, 62, 95, 69, 91, 57, 89, 68, 79, 60, 86, 84, 58, 65, 100, 66, 92, 99, 75, 71, 87, 73],
    [88, 55, 69, 56, 81, 97, 73, 92, 64, 0.0, 95, 86, 100, 78, 72, 83, 65, 94, 91, 62, 79, 88, 66, 87, 97, 59, 60, 63, 70, 61, 98, 99, 89, 57, 85, 76, 68, 84, 93, 75],
    [52, 92, 80, 71, 65, 87, 60, 75, 90, 95, 0.0, 56, 97, 68, 82, 61, 99, 88, 93, 62, 58, 77, 84, 60, 85, 74, 78, 67, 76, 64, 63, 66, 98, 100, 79, 69, 95, 86, 59, 83],
    [79, 65, 91, 79, 97, 65, 97, 75, 76, 86, 56, 0.0, 93, 69, 60, 99, 78, 58, 59, 96, 87, 100, 61, 66, 67, 89, 84, 79, 63, 70, 71, 58, 82, 94, 61, 85, 88, 60, 62, 98],
    [96, 76, 74, 69, 90, 99, 92, 69, 67, 100, 97, 93, 0.0, 58, 88, 59, 96, 87, 89, 65, 82, 99, 78, 67, 98, 56, 83, 95, 79, 64, 91, 70, 73, 85, 86, 80, 75, 90, 84, 63],
    [85, 82, 87, 74, 78, 61, 67, 86, 98, 78, 68, 69, 58, 0.0, 76, 84, 63, 95, 66, 81, 56, 97, 73, 59, 60, 96, 79, 60, 93, 58, 77, 61, 91, 88, 59, 100, 57, 82, 62, 64],
    [91, 97, 99, 84, 72, 79, 82, 81, 59, 72, 82, 60, 88, 76, 0.0, 79, 63, 60, 91, 87, 95, 56, 93, 67, 76, 90, 96, 69, 56, 57, 98, 77, 83, 89, 97, 64, 58, 85, 61, 99],
    [100, 67, 66, 98, 88, 77, 76, 98, 63, 83, 61, 99, 59, 84, 79, 0.0, 58, 56, 80, 100, 93, 97, 90, 60, 57, 94, 85, 86, 77, 91, 96, 89, 75, 61, 62, 98, 78, 69, 82, 88],
    [60, 91, 78, 66, 69, 68, 94, 99, 83, 65, 99, 78, 96, 63, 63, 58, 0.0, 85, 87, 94, 98, 61, 95, 57, 76, 88, 66, 90, 62, 56, 64, 85, 89, 80, 93, 71, 63, 59, 91, 84],
    [81, 63, 90, 58, 67, 88, 64, 58, 81, 94, 88, 58, 87, 95, 60, 56, 85, 0.0, 63, 98, 79, 99, 62, 100, 76, 61, 95, 58, 80, 94, 91, 89, 97, 59, 69, 96, 77, 93, 72, 85],
    [68, 58, 59, 91, 85, 100, 56, 93, 97, 91, 93, 59, 89, 66, 91, 80, 87, 63, 0.0, 62, 65, 90, 84, 59, 86, 57, 95, 69, 77, 88, 63, 82, 61, 99, 56, 78, 94, 83, 97, 92],
    [95, 69, 86, 72, 95, 60, 71, 87, 62, 62, 62, 96, 65, 81, 87, 100, 94, 98, 62, 0.0, 63, 93, 57, 60, 98, 79, 85, 63, 89, 76, 100, 97, 61, 94, 56, 95, 88, 69, 82, 86],
    [73, 94, 98, 64, 100, 83, 100, 90, 95, 79, 58, 87, 82, 56, 95, 93, 98, 79, 65, 63, 0.0, 99, 57, 76, 91, 68, 97, 80, 99, 57, 90, 92, 88, 66, 60, 64, 69, 97, 78, 81],
    [84, 79, 61, 95, 56, 56, 99, 65, 69, 88, 77, 100, 99, 97, 56, 97, 61, 99, 90, 93, 99, 0.0, 100, 93, 85, 94, 66, 100, 64, 62, 80, 95, 98, 63, 90, 85, 76, 83, 69, 82],
    [54, 85, 94, 60, 92, 89, 81, 94, 91, 66, 84, 61, 78, 73, 93, 90, 95, 62, 84, 57, 57, 100, 0.0, 77, 61, 93, 58, 64, 76, 88, 95, 89, 69, 79, 56, 99, 86, 60, 66, 99],
    [61, 73, 83, 86, 76, 67, 66, 82, 57, 87, 60, 66, 67, 59, 67, 60, 57, 100, 59, 60, 76, 93, 77, 0.0, 99, 98, 56, 97, 69, 90, 61, 95, 66, 91, 84, 80, 85, 62, 94, 56],
    [92, 66, 72, 70, 87, 91, 88, 91, 89, 97, 85, 67, 98, 60, 76, 57, 76, 76, 86, 98, 91, 85, 61, 99, 0.0, 93, 88, 69, 57, 99, 80, 97, 75, 69, 60, 94, 65, 78, 81, 64],
    [70, 59, 76, 94, 60, 94, 63, 57, 68, 59, 74, 89, 56, 96, 90, 94, 88, 61, 57, 79, 68, 94, 93, 98, 93, 0.0, 91, 69, 85, 77, 97, 89, 61, 63, 96, 86, 60, 83, 87, 62],
    [90, 88, 95, 89, 99, 63, 89, 100, 79, 60, 78, 84, 83, 79, 96, 85, 66, 95, 95, 85, 97, 66, 58, 56, 88, 91, 0.0, 97, 64, 99, 69, 94, 75, 98, 79, 69, 94, 85, 60, 81],
    [99, 95, 60, 61, 59, 85, 65, 70, 60, 63, 67, 79, 95, 60, 69, 86, 90, 58, 69, 63, 80, 100, 64, 97, 69, 69, 97, 0.0, 99, 96, 56, 94, 90, 91, 95, 84, 88, 60, 75, 62],
    [65, 74, 64, 83, 83, 70, 98, 96, 86, 70, 76, 63, 79, 93, 56, 77, 62, 80, 77, 89, 99, 64, 76, 69, 57, 85, 64, 99, 0.0, 62, 95, 63, 81, 90, 79, 84, 61, 69, 95, 98],
    [87, 80, 100, 76, 63, 84, 61, 62, 84, 61, 64, 70, 64, 58, 57, 91, 56, 94, 88, 76, 57, 62, 88, 90, 99, 77, 99, 96, 62, 0.0, 95, 88, 93, 85, 83, 100, 94, 87, 86, 67],
    [71, 56, 71, 97, 94, 64, 58, 67, 58, 98, 63, 71, 91, 77, 98, 96, 64, 91, 63, 100, 90, 80, 95, 61, 80, 97, 69, 56, 95, 95, 0.0, 65, 75, 78, 99, 83, 76, 94, 90, 63],
    [83, 90, 97, 85, 89, 92, 87, 64, 65, 99, 66, 58, 70, 61, 77, 89, 85, 89, 82, 97, 92, 95, 89, 95, 97, 89, 94, 94, 63, 88, 65, 0.0, 61, 68, 90, 94, 95, 60, 99, 87],
    [89, 60, 84, 63, 74, 95, 69, 72, 100, 89, 98, 82, 73, 91, 83, 75, 89, 59, 61, 61, 88, 98, 69, 66, 75, 61, 75, 90, 81, 93, 75, 61, 0.0, 60, 99, 86, 58, 99, 79, 82],
    [57, 93, 58, 78, 98, 76, 78, 97, 66, 57, 100, 94, 85, 88, 97, 61, 80, 59, 99, 94, 66, 63, 79, 91, 69, 63, 98, 91, 90, 85, 78, 68, 60, 0.0, 89, 99, 85, 64, 95, 70],
    [80, 71, 82, 67, 91, 66, 95, 76, 92, 85, 79, 61, 86, 59, 64, 62, 93, 69, 56, 56, 60, 90, 56, 84, 60, 96, 79, 95, 79, 83, 99, 90, 99, 89, 0.0, 87, 96, 61, 63, 97],
    [100, 99, 89, 59, 66, 71, 96, 85, 99, 76, 69, 85, 80, 100, 58, 98, 71, 96, 78, 95, 64, 85, 99, 80, 94, 86, 69, 84, 84, 100, 83, 94, 86, 99, 87, 0.0, 91, 78, 56, 98],
