/*********************************************
 * OPL 22.1.1.0 Data
 * Author: Kayo Xavier
 * Creation Date: 6 de out de 2024 at 13:19:49
 *********************************************/
// Número de sensores
n = 30;
// Nó base
b= 3;
// Matriz de distâncias entre os sensores (30x30)
distancia = [
    [0.0, 95, 80, 62, 88, 73, 85, 64, 74, 97, 67, 81, 66, 90, 56, 83, 100, 68, 79, 91, 60, 85, 96, 59, 70, 74, 88, 93, 77, 84],
    [95, 0.0, 78, 83, 72, 94, 60, 90, 64, 55, 68, 85, 100, 71, 92, 58, 99, 75, 87, 97, 61, 82, 73, 88, 91, 63, 66, 79, 69, 98],
    [80, 78, 0.0, 89, 56, 100, 71, 95, 69, 85, 77, 94, 61, 74, 97, 92, 88, 72, 58, 96, 60, 90, 63, 82, 99, 67, 84, 55, 91, 86],
    [62, 83, 89, 0.0, 59, 84, 97, 68, 61, 94, 60, 71, 55, 90, 74, 66, 79, 100, 85, 91, 63, 72, 88, 76, 67, 91, 65, 99, 92, 80],
    [88, 72, 56, 59, 0.0, 98, 68, 85, 97, 66, 79, 83, 55, 77, 100, 58, 94, 65, 89, 75, 91, 74, 92, 93, 82, 60, 86, 99, 67, 63],
    [73, 94, 100, 84, 98, 0.0, 90, 61, 60, 55, 93, 88, 79, 66, 99, 92, 78, 85, 87, 64, 97, 63, 95, 72, 96, 59, 91, 68, 100, 74],
    [85, 60, 71, 97, 68, 90, 0.0, 77, 94, 66, 83, 91, 89, 62, 74, 99, 59, 88, 73, 61, 100, 67, 86, 58, 95, 75, 76, 92, 55, 93],
    [64, 90, 95, 68, 85, 61, 77, 0.0, 81, 78, 99, 97, 89, 100, 95, 65, 72, 63, 60, 85, 87, 92, 58, 88, 55, 91, 84, 67, 93, 76],
    [74, 64, 69, 61, 97, 60, 94, 81, 0.0, 87, 73, 62, 91, 70, 88, 99, 95, 77, 79, 65, 92, 99, 90, 67, 82, 55, 61, 96, 86, 78],
    [97, 55, 85, 94, 66, 55, 66, 78, 87, 0.0, 89, 74, 83, 59, 71, 76, 95, 82, 93, 68, 55, 60, 65, 58, 100, 95, 86, 91, 98, 90],
    [67, 68, 77, 60, 79, 93, 83, 99, 73, 89, 0.0, 61, 98, 97, 63, 75, 90, 66, 64, 79, 81, 72, 94, 59, 76, 99, 77, 85, 55, 78],
    [81, 85, 94, 71, 83, 88, 91, 97, 62, 74, 61, 0.0, 97, 65, 82, 99, 69, 91, 100, 89, 60, 77, 66, 96, 55, 87, 95, 68, 58, 72],
    [66, 100, 61, 55, 55, 79, 89, 89, 91, 83, 98, 97, 0.0, 77, 65, 62, 88, 84, 75, 67, 96, 93, 99, 91, 60, 90, 85, 92, 95, 64],
    [90, 71, 74, 90, 77, 66, 62, 100, 70, 59, 97, 65, 77, 0.0, 83, 85, 88, 55, 79, 95, 89, 61, 92, 64, 60, 100, 67, 58, 73, 56],
    [56, 92, 97, 74, 100, 99, 74, 95, 88, 71, 63, 82, 65, 83, 0.0, 78, 87, 89, 90, 84, 93, 69, 77, 95, 64, 60, 99, 100, 59, 72],
    [83, 58, 92, 66, 58, 92, 99, 65, 99, 76, 75, 99, 62, 85, 78, 0.0, 94, 63, 61, 73, 87, 84, 100, 95, 79, 69, 90, 64, 98, 60],
    [100, 99, 88, 79, 94, 78, 59, 72, 95, 95, 90, 69, 88, 88, 87, 94, 0.0, 74, 65, 90, 61, 96, 98, 62, 60, 77, 63, 56, 97, 76],
    [68, 75, 72, 100, 65, 85, 88, 63, 77, 82, 66, 91, 84, 55, 89, 63, 74, 0.0, 81, 60, 95, 67, 99, 78, 96, 85, 61, 89, 88, 62],
    [79, 87, 58, 85, 89, 87, 73, 60, 79, 93, 64, 100, 75, 79, 90, 61, 65, 81, 0.0, 71, 88, 96, 63, 92, 64, 61, 84, 77, 56, 95],
    [91, 97, 96, 91, 75, 64, 61, 85, 65, 68, 79, 89, 67, 95, 84, 73, 90, 60, 71, 0.0, 83, 62, 88, 99, 55, 96, 95, 100, 60, 92],
    [60, 61, 60, 63, 91, 97, 100, 87, 92, 55, 81, 60, 96, 89, 93, 87, 61, 95, 88, 83, 0.0, 59, 91, 61, 67, 94, 76, 86, 75, 99],
    [85, 82, 90, 72, 74, 63, 67, 92, 99, 60, 72, 77, 93, 61, 69, 84, 96, 67, 96, 62, 59, 0.0, 58, 64, 95, 88, 99, 94, 91, 60],
    [96, 73, 63, 88, 92, 95, 86, 58, 90, 65, 94, 66, 99, 92, 77, 100, 98, 99, 63, 88, 91, 58, 0.0, 61, 56, 83, 85, 77, 60, 67],
    [59, 88, 82, 76, 93, 72, 58, 88, 67, 58, 59, 96, 91, 64, 95, 95, 62, 78, 92, 99, 61, 64, 61, 0.0, 81, 99, 93, 55, 74, 97],
    [70, 91, 99, 67, 82, 96, 95, 55, 82, 100, 76, 55, 60, 60, 64, 79, 60, 96, 64, 55, 67, 95, 56, 81, 0.0, 84, 79, 77, 99, 66],
    [74, 63, 67, 91, 60, 59, 75, 91, 55, 95, 99, 87, 90, 100, 60, 69, 77, 85, 61, 96, 94, 88, 83, 99, 84, 0.0, 63, 92, 59, 97],
    [88, 66, 84, 65, 86, 91, 76, 84, 61, 86, 77, 95, 85, 67, 99, 90, 63, 61, 84, 95, 76, 99, 85, 93, 79, 63, 0.0, 72, 75, 60],
    [93, 79, 55, 99, 99, 68, 92, 67, 96, 91, 85, 68, 92, 58, 100, 64, 56, 89, 77, 100, 86, 94, 77, 55, 77, 92, 72, 0.0, 94, 61],
    [77, 69, 91, 92, 67, 100, 55, 93, 86, 98, 55, 58, 95, 73, 59, 98, 97, 88, 56, 60, 75, 91, 60, 74, 99, 59, 75, 94, 0.0, 97],
    [84, 98, 86, 80, 63, 74, 93, 76, 78, 90, 78, 72, 64, 56, 72, 60, 76, 62, 95, 92, 99, 60, 67, 97, 66, 97, 60, 61, 97, 0.0]
];

 // Vetor de raios de comunicação (para cada sensor)
raio = [24.5, 28.0, 45.2, 33.1, 29.3, 40.8, 37.5, 42.2, 26.7, 30.9,49.5, 27.8, 35.4, 41.2, 39.6, 48.0, 34.5, 43.7, 31.3, 36.1,28.4, 32.7, 47.8, 25.9, 46.2, 29.5, 39.0, 44.5, 26.1, 50.0];
 
