/*********************************************
 * OPL 22.1.1.0 Data
 * Author: Kayo Xavier
 * Creation Date: 5 de out de 2024 at 17:58:17
 *********************************************/
// Número de sensores
n = 10;

//Nó base
b= 1;

// Matriz de distâncias entre os sensores (10x10)
distancia = [
    [0.0, 4.2, 5.5, 7.8, 6.1, 8.9, 9.2, 5.3, 4.9, 6.4],
    [4.2, 0.0, 3.6, 6.7, 8.2, 5.5, 7.9, 9.3, 4.6, 7.5],
    [5.5, 3.6, 0.0, 4.9, 6.8, 7.2, 5.1, 6.4, 9.1, 8.7],
    [7.8, 6.7, 4.9, 0.0, 5.3, 9.0, 6.7, 4.8, 6.9, 9.2],
    [6.1, 8.2, 6.8, 5.3, 0.0, 4.7, 6.9, 5.1, 7.8, 4.3],
    [8.9, 5.5, 7.2, 9.0, 4.7, 0.0, 5.8, 6.6, 8.4, 7.3],
    [9.2, 7.9, 5.1, 6.7, 6.9, 5.8, 0.0, 4.5, 5.7, 7.9],
    [5.3, 9.3, 6.4, 4.8, 5.1, 6.6, 4.5, 0.0, 6.1, 8.2],
    [4.9, 4.6, 9.1, 6.9, 7.8, 8.4, 5.7, 6.1, 0.0, 5.3],
    [6.4, 7.5, 8.7, 9.2, 4.3, 7.3, 7.9, 8.2, 5.3, 0.0]
];

// Vetor de raios de comunicação (para cada sensor)
raio = [4.0, 5.5, 4.2, 6.0, 4.8, 5.9, 4.5, 5.0, 6.2, 4.7];

 
